srno,Sowing_Time,Region,Min_Temp,Max_Temp,Soil_pH,Soil_Type,Min_Rainfall,Max_Rainfall,Rainfall,Temperature,Crop
0,june,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
1,july,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
2,january,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
3,february,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
4,march,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
5,june,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
6,july,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
7,february,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
8,january,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
9,february,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
10,march,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
11,june,haryana,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
12,july,haryana,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
13,july,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
14,august,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
15,september,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
16,january,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
17,february,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
18,march,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
19,june,madhya pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
20,july,madhya pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
21,june,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
22,july,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
23,january,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
24,february,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
25,march,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
26,june,odisha,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
27,july,odisha,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
28,june,rajasthan,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
29,july,rajasthan,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
30,june,uttar pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
31,july,uttar pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
32,october,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
33,january,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
34,february,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
35,march,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
36,january,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
37,february,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
38,june,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
39,july,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
40,january,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
41,february,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
42,june,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
43,july,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
44,november,rajasthan,12,32,7.5,loamy soil,25,55,40,22,barley
45,december,rajasthan,12,32,7.5,loamy soil,25,55,40,22,barley
46,september,uttar pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
47,october,uttar pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
48,september,madhya pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
49,october,madhya pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
50,november,madhya pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
51,november,haryana,12,32,7.5,loamy soil,25,55,40,22,barley
52,december,haryana,12,32,7.5,loamy soil,25,55,40,22,barley
53,november,punjab,12,32,7.5,loamy soil,25,55,40,22,barley
54,december,punjab,12,32,7.5,loamy soil,25,55,40,22,barley
55,september,west bengal,12,32,7.5,loamy soil,25,55,40,22,barley
56,october,west bengal,12,32,7.5,loamy soil,25,55,40,22,barley
57,september,bihar,12,32,7.5,loamy soil,25,55,40,22,barley
58,october,bihar,12,32,7.5,loamy soil,25,55,40,22,barley
59,october,jammu kashmir,12,32,7.5,loamy soil,25,55,40,22,barley
60,november,jammu kashmir,12,32,7.5,loamy soil,25,55,40,22,barley
61,october,uttarakhand,12,32,7.5,loamy soil,25,55,40,22,barley
62,november,uttarakhand,12,32,7.5,loamy soil,25,55,40,22,barley
63,april,himachal pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
64,may,himachal pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
65,october,himachal pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
66,may,north india,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
67,june,north india,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
68,may,north india,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
69,june,north india,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
70,may,north india,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
71,june,north india,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
72,may,north india,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
73,june,north india,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
74,may,maharashtra,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
75,june,maharashtra,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
76,may,maharashtra,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
77,june,maharashtra,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
78,may,maharashtra,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
79,june,maharashtra,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
80,may,maharashtra,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
81,june,maharashtra,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
82,may,karnataka,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
83,june,karnataka,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
84,may,karnataka,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
85,june,karnataka,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
86,may,karnataka,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
87,june,karnataka,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
88,may,karnataka,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
89,june,karnataka,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
90,may,andhra pradesh,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
91,june,andhra pradesh,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
92,may,andhra pradesh,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
93,june,andhra pradesh,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
94,may,andhra pradesh,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
95,june,andhra pradesh,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
96,may,andhra pradesh,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
97,june,andhra pradesh,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
98,june,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
99,july,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
100,october,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
101,november,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
102,december,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
103,january,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
104,august,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
105,september,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
106,october,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
107,november,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
108,december,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
109,february,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
110,march,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
111,april,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
112,may,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
113,june,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
114,july,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
115,august,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
116,october,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
117,november,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
118,february,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
119,march,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
120,march,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
121,april,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
122,may,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
123,june,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
124,september,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
125,october,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
126,june,madhya pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
127,july,madhya pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
128,august,madhya pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
129,october,madhya pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
130,november,madhya pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
131,july,maharashtra,25,35,7,black cotton soil,60,75,67.5,30,blackgram
132,august,maharashtra,25,35,7,black cotton soil,60,75,67.5,30,blackgram
133,april,odisha,25,35,7,black cotton soil,60,75,67.5,30,blackgram
134,may,odisha,25,35,7,black cotton soil,60,75,67.5,30,blackgram
135,june,odisha,25,35,7,black cotton soil,60,75,67.5,30,blackgram
136,july,rajasthan,25,35,7,black cotton soil,60,75,67.5,30,blackgram
137,august,rajasthan,25,35,7,black cotton soil,60,75,67.5,30,blackgram
138,august,tamil nadu,25,35,7,black cotton soil,60,75,67.5,30,blackgram
139,september,tamil nadu,25,35,7,black cotton soil,60,75,67.5,30,blackgram
140,october,tamil nadu,25,35,7,black cotton soil,60,75,67.5,30,blackgram
141,november,tamil nadu,25,35,7,black cotton soil,60,75,67.5,30,blackgram
142,december,tamil nadu,25,35,7,black cotton soil,60,75,67.5,30,blackgram
143,april,uttar pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
144,may,uttar pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
145,june,uttar pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
146,march,west bengal,25,35,7,black cotton soil,60,75,67.5,30,blackgram
147,april,west bengal,25,35,7,black cotton soil,60,75,67.5,30,blackgram
148,may,west bengal,25,35,7,black cotton soil,60,75,67.5,30,blackgram
149,june,west bengal,25,35,7,black cotton soil,60,75,67.5,30,blackgram
150,august,karnataka,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
151,august,odisha,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
152,august,chhattisgarh,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
153,august,bihar,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
154,august,jharkhand,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
155,october,west bengal,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
156,november,west bengal,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
157,october,tamil nadu,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
158,august,madhya pradesh,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
159,july,maharashtra,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
160,july,rajasthan,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
161,june,himachal pradesh,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
162,july,himachal pradesh,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
163,august,andhra pradesh,25,30,5.5,laterite soil,30,80,55,27.5,horsegram
164,october,andhra pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
165,november,andhra pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
166,december,andhra pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
167,february,andhra pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
168,march,andhra pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
169,may,andhra pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
170,june,bihar,25,32,6,clay soil,30,60,45,28.5,jowar
171,july,bihar,25,32,6,clay soil,30,60,45,28.5,jowar
172,june,gujrat,25,32,6,clay soil,30,60,45,28.5,jowar
173,july,gujrat,25,32,6,clay soil,30,60,45,28.5,jowar
174,june,haryana,18,32,6,clay soil,30,60,45,25,jowar
175,november,haryana,18,32,6,clay soil,30,60,45,25,jowar
176,december,haryana,18,32,6,clay soil,30,60,45,25,jowar
177,may,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
178,june,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
179,july,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
180,september,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
181,october,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
182,january,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
183,february,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
184,march,karnataka,25,32,6,clay soil,30,60,45,28.5,jowar
185,october,madhya pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
186,november,madhya pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
187,december,madhya pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
188,february,madhya pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
189,march,madhya pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
190,may,madhya pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
191,may,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
192,june,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
193,july,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
194,september,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
195,october,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
196,january,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
197,february,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
198,march,maharashtra,25,32,6,clay soil,30,60,45,28.5,jowar
199,june,punjab,25,32,6,clay soil,30,60,45,28.5,jowar
200,july,punjab,25,32,6,clay soil,30,60,45,28.5,jowar
201,june,rajasthan,25,32,6,clay soil,30,60,45,28.5,jowar
202,july,rajasthan,25,32,6,clay soil,30,60,45,28.5,jowar
203,october,tamil nadu,25,32,6,clay soil,30,60,45,28.5,jowar
204,november,tamil nadu,25,32,6,clay soil,30,60,45,28.5,jowar
205,december,tamil nadu,25,32,6,clay soil,30,60,45,28.5,jowar
206,february,tamil nadu,25,32,6,clay soil,30,60,45,28.5,jowar
207,march,tamil nadu,25,32,6,clay soil,30,60,45,28.5,jowar
208,may,tamil nadu,25,32,6,clay soil,30,60,45,28.5,jowar
209,june,uttar pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
210,july,uttar pradesh,25,32,6,clay soil,30,60,45,28.5,jowar
211,june,uttarakhand,25,32,6,clay soil,30,60,45,28.5,jowar
212,july,uttarakhand,25,32,6,clay soil,30,60,45,28.5,jowar
213,march,uttarakhand,25,32,6,clay soil,30,60,45,28.5,jowar
214,april,uttarakhand,25,32,6,clay soil,30,60,45,28.5,jowar
215,may,uttarakhand,25,32,6,clay soil,30,60,45,28.5,jowar
216,june,west bengal,25,32,6,clay soil,30,60,45,28.5,jowar
217,july,west bengal,25,32,6,clay soil,30,60,45,28.5,jowar
218,october,telangana,25,32,6,clay soil,30,60,45,28.5,jowar
219,november,telangana,25,32,6,clay soil,30,60,45,28.5,jowar
220,december,telangana,25,32,6,clay soil,30,60,45,28.5,jowar
221,february,telangana,25,32,6,clay soil,30,60,45,28.5,jowar
222,march,telangana,25,32,6,clay soil,30,60,45,28.5,jowar
223,may,telangana,25,32,6,clay soil,30,60,45,28.5,jowar
224,october,bihar,15,25,5.6,clay soil,60,150,105,20,kidneybeans
225,november,bihar,15,25,5.6,clay soil,60,150,105,20,kidneybeans
226,january,bihar,15,25,5.6,clay soil,60,150,105,20,kidneybeans
227,february,bihar,15,25,5.6,clay soil,60,150,105,20,kidneybeans
228,june,bihar,15,25,5.6,clay soil,60,150,105,20,kidneybeans
229,july,bihar,15,25,5.6,clay soil,60,150,105,20,kidneybeans
230,january,gujrat,15,25,5.6,clay soil,60,150,105,20,kidneybeans
231,february,gujrat,15,25,5.6,clay soil,60,150,105,20,kidneybeans
232,june,gujrat,15,25,5.6,clay soil,60,150,105,20,kidneybeans
233,july,gujrat,15,25,5.6,clay soil,60,150,105,20,kidneybeans
234,october,gujrat,15,25,5.6,clay soil,60,150,105,20,kidneybeans
235,november,gujrat,15,25,5.6,clay soil,60,150,105,20,kidneybeans
236,june,himachal pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
237,july,himachal pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
238,january,himachal pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
239,february,himachal pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
240,october,himachal pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
241,november,himachal pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
242,january,jammu kashmir,15,25,5.6,clay soil,60,150,105,20,kidneybeans
243,february,jammu kashmir,15,25,5.6,clay soil,60,150,105,20,kidneybeans
244,june,jammu kashmir,15,25,5.6,clay soil,60,150,105,20,kidneybeans
245,july,jammu kashmir,15,25,5.6,clay soil,60,150,105,20,kidneybeans
246,october,jammu kashmir,15,25,5.6,clay soil,60,150,105,20,kidneybeans
247,november,jammu kashmir,15,25,5.6,clay soil,60,150,105,20,kidneybeans
248,january,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
249,february,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
250,may,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
251,june,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
252,july,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
253,august,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
254,september,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
255,october,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
256,november,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
257,december,karnataka,15,25,5.6,clay soil,60,150,105,20,kidneybeans
258,january,kerala,15,25,5.6,clay soil,60,150,105,20,kidneybeans
259,february,kerala,15,25,5.6,clay soil,60,150,105,20,kidneybeans
260,june,kerala,15,25,5.6,clay soil,60,150,105,20,kidneybeans
261,july,kerala,15,25,5.6,clay soil,60,150,105,20,kidneybeans
262,october,kerala,15,25,5.6,clay soil,60,150,105,20,kidneybeans
263,november,kerala,15,25,5.6,clay soil,60,150,105,20,kidneybeans
264,october,maharashtra,15,25,5.6,clay soil,60,150,105,20,kidneybeans
265,november,maharashtra,15,25,5.6,clay soil,60,150,105,20,kidneybeans
266,january,maharashtra,15,25,5.6,clay soil,60,150,105,20,kidneybeans
267,february,maharashtra,15,25,5.6,clay soil,60,150,105,20,kidneybeans
268,june,maharashtra,15,25,5.6,clay soil,60,150,105,20,kidneybeans
269,july,maharashtra,15,25,5.6,clay soil,60,150,105,20,kidneybeans
270,february,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
271,march,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
272,january,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
273,may,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
274,june,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
275,july,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
276,october,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
277,november,punjab,15,25,5.6,clay soil,60,150,105,20,kidneybeans
278,february,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
279,march,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
280,may,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
281,june,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
282,july,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
283,january,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
284,october,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
285,november,rajasthan,15,25,5.6,clay soil,60,150,105,20,kidneybeans
286,january,tamil nadu,15,25,5.6,clay soil,60,150,105,20,kidneybeans
287,february,tamil nadu,15,25,5.6,clay soil,60,150,105,20,kidneybeans
288,june,tamil nadu,15,25,5.6,clay soil,60,150,105,20,kidneybeans
289,july,tamil nadu,15,25,5.6,clay soil,60,150,105,20,kidneybeans
290,october,tamil nadu,15,25,5.6,clay soil,60,150,105,20,kidneybeans
291,november,tamil nadu,15,25,5.6,clay soil,60,150,105,20,kidneybeans
292,november,uttar pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
293,january,uttar pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
294,february,uttar pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
295,october,uttar pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
296,june,uttar pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
297,july,uttar pradesh,15,25,5.6,clay soil,60,150,105,20,kidneybeans
298,february,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
299,march,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
300,april,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
301,may,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
302,june,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
303,august,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
304,september,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
305,october,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
306,november,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
307,january,uttarakhand,15,25,5.6,clay soil,60,150,105,20,kidneybeans
308,january,west bengal,15,25,5.6,clay soil,60,150,105,20,kidneybeans
309,february,west bengal,15,25,5.6,clay soil,60,150,105,20,kidneybeans
310,june,west bengal,15,25,5.6,clay soil,60,150,105,20,kidneybeans
311,july,west bengal,15,25,5.6,clay soil,60,150,105,20,kidneybeans
312,october,west bengal,15,25,5.6,clay soil,60,150,105,20,kidneybeans
313,november,west bengal,15,25,5.6,clay soil,60,150,105,20,kidneybeans
314,october,assam,18,30,6,loamy soil,35,55,45,24,lentil
315,october,assam,18,30,6,alluvial soil,35,55,45,24,lentil
316,october,bihar,18,30,6,loamy soil,35,55,45,24,lentil
317,october,bihar,18,30,6,alluvial soil,35,55,45,24,lentil
318,october,chhattisgarh,18,30,6,loamy soil,35,55,45,24,lentil
319,october,chhattisgarh,18,30,6,alluvial soil,35,55,45,24,lentil
320,october,gujrat,18,30,6,loamy soil,35,55,45,24,lentil
321,october,gujrat,18,30,6,alluvial soil,35,55,45,24,lentil
322,october,haryana,18,30,6,loamy soil,35,55,45,24,lentil
323,october,haryana,18,30,6,alluvial soil,35,55,45,24,lentil
324,october,himachal pradesh,18,30,6,loamy soil,35,55,45,24,lentil
325,october,himachal pradesh,18,30,6,alluvial soil,35,55,45,24,lentil
326,october,jammu kashmir,18,30,6,loamy soil,35,55,45,24,lentil
327,october,jammu kashmir,18,30,6,alluvial soil,35,55,45,24,lentil
328,october,madhya pradesh,18,30,6,loamy soil,35,55,45,24,lentil
329,october,madhya pradesh,18,30,6,alluvial soil,35,55,45,24,lentil
330,october,maharashtra,18,30,6,loamy soil,35,55,45,24,lentil
331,october,maharashtra,18,30,6,alluvial soil,35,55,45,24,lentil
332,october,punjab,18,30,6,loamy soil,35,55,45,24,lentil
333,october,punjab,18,30,6,alluvial soil,35,55,45,24,lentil
334,october,rajasthan,18,30,6,loamy soil,35,55,45,24,lentil
335,october,rajasthan,18,30,6,alluvial soil,35,55,45,24,lentil
336,november,uttar pradesh,18,30,6,loamy soil,35,55,45,24,lentil
337,november,uttar pradesh,18,30,6,alluvial soil,35,55,45,24,lentil
338,november,uttarakhand,18,30,6,loamy soil,35,55,45,24,lentil
339,november,uttarakhand,18,30,6,alluvial soil,35,55,45,24,lentil
340,june,andhra pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
341,july,andhra pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
342,august,andhra pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
343,may,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
344,june,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
345,july,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
346,august,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
347,october,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
348,november,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
349,december,karnataka,25,30,5.5,loamy soil,50,100,75,27.5,maize
350,december,tamil nadu,25,30,5.5,loamy soil,50,100,75,27.5,maize
351,january,tamil nadu,25,30,5.5,loamy soil,50,100,75,27.5,maize
352,february,tamil nadu,25,30,5.5,loamy soil,50,100,75,27.5,maize
353,june,rajasthan,25,30,5.5,loamy soil,50,100,75,27.5,maize
354,july,rajasthan,25,30,5.5,loamy soil,50,100,75,27.5,maize
355,june,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
356,july,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
357,august,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
358,september,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
359,october,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
360,november,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
361,december,maharashtra,25,30,5.5,loamy soil,50,100,75,27.5,maize
362,june,bihar,25,30,5.5,loamy soil,50,100,75,27.5,maize
363,july,bihar,25,30,5.5,loamy soil,50,100,75,27.5,maize
364,october,bihar,25,30,5.5,loamy soil,50,100,75,27.5,maize
365,november,bihar,25,30,5.5,loamy soil,50,100,75,27.5,maize
366,december,bihar,25,30,5.5,loamy soil,50,100,75,27.5,maize
367,june,uttar pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
368,july,uttar pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
369,august,uttar pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
370,september,uttar pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
371,october,uttar pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
372,january,madhya pradesh,25,30,5.5,loamy soil,50,100,75,27.5,maize
